,SYSTEM,CATG_MGT_PNL,ACCT_CATG,CUST_NAME,ACCT_NAME,ACCT_NO,CONT_NO,LINE_NO,GN,CN,BUSI_CODE,CONTRACT_ADDR1,CONTRACT_ADDR2,CONTRACT_ADDR3,CONTRACT_ADDR4,BUILDING_ID,INST_ADDR_FLAT,INST_ADDR_FLOR,ADDRESS,INST_ADD1,INST_ADD2,INST_ADD3,INST_ADD4
49410,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289368,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
49411,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,25210601,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
55502,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289307,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,00002325,ROOM 2108,21,DEMOLISHED_HUTCHISON HSE 10 HARCOURT RD CENTRAL DISTRICT HK,ROOM 2108  21/F,HUTCHISON HOUSE,10 HARCOURT ROAD,CENTRAL HK
64254,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,22236673,2,61929828,GN00413,CN00001339,VOICE,FLAT 2108 21/F,HUTCHISON HSE,10 HARCOURT RD,CENTRAL DISTRICT HK,,,,,,,,
66809,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,22975304,1,63380928,GN00413,CN00001339,VOICE,ROOM 2108 21/F,HUTCHISON HSE,10 HARCOURT RD,CENTRAL DISTRICT HK,,,,,,,,
67804,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289319,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
87772,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289396,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
110611,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,17745688,1,98370308,GN00413,CN00001339,VOICE,ROOM 2108 21/F HUTCHISON HSE ,"10 HARCOURT RD,",CENTRAL,,,,,,,,,
110612,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,81250721,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
111369,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289348,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
111370,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,25212285,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
113506,ONOP,BDEL,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289271,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,00002325,,21,DEMOLISHED_HUTCHISON HSE 10 HARCOURT RD CENTRAL DISTRICT HK,21/F,HUTCHISON HSE,10 HARCOURT RD,CENTRAL DISTRICT HK
159147,ONOP,BDEL,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289248,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,00002325,,21,DEMOLISHED_HUTCHISON HSE 10 HARCOURT RD CENTRAL DISTRICT HK,21/F,HUTCHISON HSE,10 HARCOURT RD,CENTRAL DISTRICT HK
191224,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289334,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
207172,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,21289326,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
216647,ONOP,,IC,HUTCHISON WHAMPOA (CHINA) LTD,HUTCHISON WHAMPOA (CHINA) LTD,65,1,81224045,GN00413,CN00001339,VOICE,18/F TOWER ,METROPOLIS OFFICE,10 METROPOLIS DRV,HUNG HOM KLN,,,,,,,,
